Link,Year,Title,Author,Publisher,Duration,Notes,SourceType,Transparency ,Supply Chain,Policy,Public Health,Take Action,Page
https://www.govinfo.gov/content/pkg/CHRG-111shrg51265/html/CHRG-111shrg51265.htm,2009,Senate Hearing 111-56 Formaldehyde In Textiles and Consumer Products,,US Gov,60m,,News/Event/Dated,,,1,1,1,TA1
https://www.greenpeace.org/international/act/detox/,2020,Detox my Fashion,Greenpeace,Greenpeace,5m,,Org,,,,1,1,TA1
,,,,,,,,,,,,,
https://fashionbi.com/newspaper/the-health-risks-of-toxic-fibers-and-fabrics,2020,The Health Risks of Toxic Fibers and Fabrics,Fashionbi,Fashionbi,5m,,Edu,,1,,1,,PH1
https://oecotextiles.blog/2011/10/13/polyester-and-our-health/,2020,Polyester and Our Health,O ecotextiles,o ecotextiles,5m,,Edu,,1,,1,,PH1
https://formaldehyde.americanchemistry.com/Formaldehyde-Occurs-Naturally-and-Is-All-Around-Us.pdf,,Formaldehyde fact sheet,American Chemistry,American Chemistry,5m,,Edu,,,,1,,PH1
https://www.epa.gov/formaldehyde/protect-against-exposures-formaldehyde,2020,Protect Against Exposures to Formaldehyde,EPA,EPA,20m,,Edu,,,,1,,PH1
,,,,,,,,,,,,,
https://www.ewg.org/skindeep/ingredients/705478-QUATERNIUM-15_(FORMALDEHYDE_RELEASER)/,2020,Skin Deep Database,EWG,EWG,5m+,,Edu,1,,,1,,PH2
https://silentspring.org/detox-me-app-tips-healthier-living,2020,Detox Me App,Silent Sprint Institute,Silent Spring Institute,5m+,,Edu,1,,,1,,PH2
https://www.talkhealthpartnership.com/talkeczema/,2020,Talk Health,Talk Health,Talk Health,5m+,,Org,,,,1,,PH2
,,,,,,,,,,,,,
http://skinsupport.org.uk/conditions-details/contact-dermatitis,2020,Contact Dermatitis,Skin Support,Skin Support,5m,,Edu,,,,1,,PH3
https://www.webmd.com/allergies/textile-allergy,2020,Am I Allergic to My Clothes?,Web MD,Web MD,5m,,Edu,,,,1,,PH3
https://itchylittleworld.com/guide-textile-dermatitis-latex-hypersensitivity-polyester-allergy-explained/,2020,Your Guide to Textile Dermatits: Latex HyperSensitivity and Polyester Allergy,Dolgy,ItchlyLittleWorld,,,Edu,,,,1,,PH3
,,,,,,,,,,,,,
https://www.cpsc.gov/s3fs-public/Guide-to-US-Apparel-and-Household-Textiles.pdf,2016,A Guide to US Apparel and Household Textile Compliance Requirements,Benson & Reczek,NIST,20m,,Edu,,,1,,,PO1
https://echa.europa.eu/regulations/reach/understanding-reach,2020,Understanding Reach,ECHA,ECHA,5m,,Edu,,,1,,,PO1
https://ec.europa.eu/growth/sectors/fashion/textiles-clothing/legislation_en,,Textiles and clothing legislation,Eurpoean Commision,Eurropean Commission,5m,,Edu,1,,1,,,PO1
https://www.ftc.gov/tips-advice/business-center/selected-industries/clothing-and-textiles,2020,Clothing and Textiles,FTC,FTC,20m,,Edu,1,,1,,,PO1
https://www.epa.gov/regulatory-information-sector/textile-manufacturing-sector-naics-313,2020,Textile Manufacturing Sector (NAICS 313),EPA,EPA,60m,see other sectors too,Edu,1,,1,,,PO1
,,,,,,,,,,,,,
https://en.wikipedia.org/w/index.php?title=Glossary_of_textile_manufacturing&oldid=821542663,2020,Glossary of textile manufacturing,Wikipedia,Wikipedia,5m+,,Edu,,1,,,,SC1
https://www.dupontnutritionandbiosciences.com/microbial-control/hygiene/apparel-home-textile.html,2020,Clothing and Home Textile,DuPont,DuPont,5m,,Product,,1,,,,SC1
https://www.shinetsusilicone-global.com/catalog/pdf/TextileTreatments_e.pdf,,Textile Treatments,Shin Etsu Silicone,Shin Etsu Silicone,5m,,Product,,1,,,,SC1
https://www.mdpi.com/2079-6412/8/1/8/htm,,Polymeric Antimicrobial Coatings based on Quaternary Ammonium compounds,Druvari et al,Advances in Antimicrobial coatings,10m,,Aca,,1,,,,SC1
,,,,,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2078137/,2006,Solvent Nerurotoxicity,Dick,Occupational & Environmental Medicine,15m,,Aca,,1,,1,,SC2
